,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,avg_clustering_p,largest_cc_p,avg_local_efficiency_p,global_efficiency_p,avg_pc,avg_pc_ste
39,control,0.2205,0.4060250237415082,0.0065811312998637,0.3341815708184208,0.0038827055933934,0.4610251291254726,0.0070782575760518,0.9571678321678324,0.0068790884032027,52,292,0.199512972392501,0.6419019531553285,0.0369425900924656,0.0663787474871534,0.9004418849901544,0.0066167392483825
40,covid,0.2295,0.3960293834771182,0.0074568460896912,0.3256662956101329,0.00479828856161,0.4428090419617282,0.0081255949296586,0.9638278388278388,0.006251379543987,52,304,0.3059484176390613,0.7898908914141614,0.0545742196012075,0.0304526922051316,0.9224031436796633,0.0042128106459042
41,control,0.2295,0.4082947809128364,0.0063607892522119,0.3399183281856617,0.0038711220714697,0.4634220885251952,0.0069204810169623,0.9637237762237764,0.0064001270288383,52,304,0.3059484176390613,0.7898908914141614,0.0545742196012075,0.0304526922051316,0.9032231773985724,0.006332712019091
42,covid,0.2385,0.3986807916533096,0.0077737000606871,0.3296615312024175,0.0048725448030115,0.4454536440732999,0.0084216862758756,0.9670329670329668,0.0061867671783494,52,316,0.3059484176390613,0.7533863786608775,0.0716555924550309,0.0177162474587717,0.925220449624977,0.0039981527192617
43,control,0.2385,0.410519486311502,0.0062964517781057,0.3456053465808574,0.0038920801722456,0.4654295901136736,0.0066753246773325,0.9698426573426572,0.0053313698557695,52,316,0.3059484176390613,0.7533863786608775,0.0716555924550309,0.0177162474587717,0.9069348183389776,0.0060635450280242
44,covid,0.2474,0.3969257998368321,0.0076843221058308,0.3330481799342419,0.0049598423427091,0.4448316888567747,0.0085037276677109,0.9684065934065932,0.0062048942818857,52,328,0.1629399713276723,0.6382295060526173,0.0445749021701412,0.010682350131398,0.9273338185941532,0.0038532085491591
45,control,0.2474,0.4128454381269476,0.0065373363449441,0.3503004389796615,0.0041432983306424,0.4674438231513017,0.0067899170546234,0.9733391608391608,0.004914418889483,52,328,0.1629399713276723,0.6382295060526173,0.0445749021701412,0.010682350131398,0.910001865931747,0.0058422939479321
46,covid,0.2564,0.3987476263627701,0.0080401811486508,0.3373472701182513,0.0051576258870589,0.4470021087147713,0.0088669893267007,0.9725274725274724,0.0060447488498942,52,340,0.2487665819653,0.6742201490360806,0.0703051811288529,0.0177162474587717,0.9293566140371567,0.0037136666846384
47,control,0.2564,0.4129918083080841,0.0066996133230435,0.3544341146030677,0.0041798507379375,0.4671158183927486,0.0070202630469787,0.9763986013986014,0.0049395319560247,52,340,0.2487665819653,0.6742201490360806,0.0703051811288529,0.0177162474587717,0.9133608474455894,0.0055021381481788
48,covid,0.2654,0.4010124213843663,0.0084244950804222,0.340485565597309,0.0052257806260904,0.4485437668300412,0.0092034208487692,0.9743589743589742,0.0056326746298064,52,351,0.2899105790482366,0.640944144455224,0.1209593160478409,0.0146624617339913,0.9316651834860878,0.0035753021624924
49,control,0.2654,0.4140285799051868,0.006664246245585,0.3578050331073536,0.0042684567277593,0.4683417449393565,0.0070271081384297,0.9781468531468532,0.0047312303811992,52,351,0.2899105790482366,0.640944144455224,0.1209593160478409,0.0146624617339913,0.916176665237436,0.0052702385885971
50,covid,0.2744,0.3999837656880439,0.0084218543410257,0.3433062572826178,0.0053302932972423,0.448049029012741,0.0093015755758543,0.9752747252747253,0.0052320446770856,52,363,0.2452396279655246,0.4587123677570341,0.0928893370056569,0.0139756323022383,0.9333834523477326,0.003518026304443
51,control,0.2744,0.4156101282122717,0.0066428806712695,0.3615309559298796,0.0043217989325856,0.4696634327576517,0.0071278925188623,0.9812062937062938,0.0040289824368322,52,363,0.2452396279655246,0.4587123677570341,0.0928893370056569,0.0139756323022383,0.9183160252237474,0.0051725696872421
52,covid,0.2833,0.3998679099074422,0.0085226491510532,0.3466489719071776,0.0053586181807963,0.4475228666475227,0.0093548026612713,0.9775641025641024,0.0046656887569086,52,375,0.2087455352348453,0.5508138593084688,0.1052593054780531,0.0161259193664438,0.9353705953626106,0.0034567413429538
53,control,0.2833,0.4156257877348659,0.0065570874692235,0.3645714283596142,0.0043533094386613,0.469009315965059,0.0071192476899608,0.9825174825174826,0.0038510270808847,52,375,0.2087455352348453,0.5508138593084688,0.1052593054780531,0.0161259193664438,0.9208259151279812,0.0050072246802396
54,covid,0.2923,0.3995443414482051,0.0087710199668704,0.3492670488396957,0.0054691527738864,0.447195759794482,0.0094711391964615,0.9789377289377288,0.0045239172163889,52,387,0.1407495269944434,0.6431454344672507,0.0832405459903468,0.021313685355129,0.9369947640278846,0.0033262638946068
55,control,0.2923,0.4172241326199348,0.00675033144071,0.3669958593533911,0.0044093816251861,0.4701194416324366,0.0072563250380155,0.9825174825174826,0.0038510270808847,52,387,0.1407495269944434,0.6431454344672507,0.0832405459903468,0.021313685355129,0.9235159203393016,0.0047031672302262
56,covid,0.3013,0.3995388793107859,0.0088187728879927,0.3517011957219868,0.0056132435921813,0.4461216253997886,0.0095088471417225,0.9803113553113554,0.0043190105977153,52,399,0.1629399713276723,0.5249855849883273,0.0638628577561119,0.0244143572311009,0.938522277583275,0.0032403019559023
57,control,0.3013,0.4179221882636787,0.006982224011018,0.3701875817281035,0.0046455517768033,0.4703045922744717,0.0073924486980481,0.9847027972027972,0.0034180191415145,52,399,0.1629399713276723,0.5249855849883273,0.0638628577561119,0.0244143572311009,0.9268161851991836,0.0044508616831779
58,covid,0.3103,0.4000591762748505,0.00879660425611,0.3537945632775771,0.005687192040843,0.4457586862102807,0.009311431569575,0.9812271062271062,0.0040172196011771,52,411,0.1361495110318576,0.4642237342822436,0.0545742196012075,0.0169046760247,0.9399355667032002,0.0031450413537563
59,control,0.3103,0.4191824734278365,0.0070618087148825,0.3728248358927379,0.0046711763564661,0.4704918350376951,0.0075048221536078,0.986013986013986,0.0030509144660604,52,411,0.1361495110318576,0.4642237342822436,0.0545742196012075,0.0169046760247,0.9289084739474855,0.004279470162189
60,covid,0.3192,0.3995934927944359,0.0088125099039907,0.3554440562740022,0.0057795117125324,0.4446251332691313,0.0092278243978472,0.9812271062271062,0.0040172196011771,52,423,0.1478723881270793,0.3569672745996658,0.0579160626824282,0.0153788737233658,0.9413878664636486,0.0030879725356182
