,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,modularity,modularity_ste,num_nodes,num_edges
48,covid,0.1724,0.3784459916629326,0.0061284739688889,0.2899238284437529,0.0046135446981004,0.4210802059982361,0.0069153290968781,0.3496098383243403,0.0100245913971612,52.0,228.0
49,control,0.1724,0.3871115693159897,0.0070411310634263,0.3039282668355741,0.0036934869519722,0.4403760547143758,0.0073407695856107,0.3609943621331087,0.0074078201779239,52.0,228.0
50,covid,0.1779,0.3790418516836364,0.0057030793219104,0.294606088742958,0.0046476991655095,0.4233392328259518,0.006565130483681,0.3429515421469669,0.0099127571392045,52.0,235.0
51,control,0.1779,0.3890281075451797,0.0073817874513292,0.3081327660342657,0.0037145864286065,0.4426288640834854,0.0076496729269484,0.3561414652384869,0.0073475806258589,52.0,235.0
52,covid,0.1834,0.382258948999734,0.0061182891635488,0.2982858155343417,0.0046317031858986,0.4269383628454661,0.0070467573784962,0.3398379562460871,0.0096898084526319,52.0,243.0
53,control,0.1834,0.3899306301217392,0.0072068432168747,0.3130806561110237,0.0037288687922945,0.444895602341308,0.0076026457783439,0.3510803438390955,0.0074423388700576,52.0,243.0
54,covid,0.189,0.38619381514723,0.0062757571009612,0.3019593490257546,0.00470564864835,0.4311842183086811,0.0069658815100687,0.3351537224379403,0.009920875292333,52.0,250.0
55,control,0.189,0.3953183472883763,0.0070734991097037,0.3158359463855032,0.003773967793671,0.4500717283343723,0.007415033936032,0.346782110957833,0.0072594486694571,52.0,250.0
56,covid,0.1945,0.3885557623761154,0.0064526403545854,0.3051317334098445,0.0047858688809568,0.4335823001651268,0.0070722514481926,0.3300764310652597,0.0096693116663285,52.0,257.0
57,control,0.1945,0.3978234326283572,0.006907089235343,0.3189892524866669,0.0037518589587874,0.452434109900772,0.0070799547504484,0.3401871919335226,0.0073135115546325,52.0,257.0
58,covid,0.2,0.3907170890261375,0.0067025301765624,0.3088290670569074,0.004773001215375,0.4355997414928973,0.0072566343148625,0.3274316429068641,0.0096173486577749,52.0,265.0
59,control,0.2,0.397736352469276,0.006742055176168551,0.32345255886590707,0.003665418561616071,0.4527070646747657,0.00702395342448488,0.333817328316395,0.0070820468386879,52.0,265.0
