,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,modularity,modularity_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,avg_local_efficiency_p,modularity_p,global_efficiency_p,largest_cc_p,avg_clustering_p
43,covid,0.2564,0.3079527566740542,0.0089546041811323,0.3197119499974687,0.0047364102944496,0.3917505215647865,0.0088112453062554,0.2926563293806407,0.0072536769348855,0.9832738095238096,0.00325207950134,400,20461,0.0003311334258993076,0.6439349620405077,0.00014144688269440147,0.27643462886834813,0.0008670220495218715
44,control,0.2295,0.3627203319151474,0.0094124721831706,0.3458045388980351,0.0047587790648559,0.4539989357975829,0.0096374251420626,0.3152659508318189,0.0069751141451592,0.990568181818182,0.0013727527568648,400,18313,0.00029969998601540887,0.6011973726473452,0.00012294326032038293,0.28848092770292255,0.0009224071236328951
45,covid,0.2654,0.3062325836679945,0.0089768236462118,0.3204502198373921,0.0048045463952707,0.3888477196340244,0.0088209895521391,0.2866549078059098,0.0071911133886207,0.9833333333333334,0.0032544521513988,400,21177,0.00036563149511139676,0.5951979255769622,0.00014144688269440147,0.2632345155403222,0.0008670220495218715
46,control,0.2385,0.3613451863335826,0.0095382380274573,0.3474833636417667,0.0048895066858926,0.4512566230811447,0.0097308732042491,0.3096242042043778,0.0067868238353378,0.9908522727272728,0.0013658674499641,400,19029,0.0003311334258993076,0.6011973726473452,0.00014144688269440147,0.25787785809517194,0.0009513126435267218
47,covid,0.2744,0.3044606901759372,0.0089933407700664,0.3211073085030415,0.0048680977361529,0.3859087023739255,0.0088343158757551,0.2811474910063096,0.007284295008842,0.9833333333333334,0.0032544521513988,400,21893,0.0003537751837300296,0.531084510235108,0.00014646659048669905,0.2613745694530667,0.0007653848599050884
48,control,0.2474,0.3600156300340268,0.0096547833293335,0.34893577237129,0.0050089970310649,0.4485701275376469,0.0098246525455079,0.3045151783639744,0.0066448901689785,0.9909090909090912,0.0013662165671993,400,19745,0.0003203279984550621,0.4601118832150398,0.00014144688269440147,0.27262665884831205,0.000840501015028277
49,covid,0.2833,0.3026732392753726,0.008996928098475,0.3217131200935491,0.0049268604237497,0.3829618486675629,0.0088336232993008,0.2769726051539074,0.0068984859909617,0.9833928571428572,0.0032611458847119,400,22610,0.0003311334258993076,0.5951979255769622,0.00015165369125760134,0.26495009579683626,0.0008147341139890692
50,covid,0.2923,0.3010098639750942,0.0090058226409952,0.3222509326385264,0.0049833551242573,0.3801136856824253,0.0088411088281319,0.2714117814644283,0.0069649741995501,0.9833928571428572,0.0032611458847119,400,23326,0.0003203279984550621,0.5086708862890612,0.00015165369125760134,0.2502956906765953,0.0006538928141349498
51,control,0.2564,0.3586372110708019,0.0097693123724945,0.3503112072466089,0.0051242261932469,0.4458302717756531,0.0099187099340278,0.2977150851144031,0.0066077745643758,0.9909090909090912,0.0013662165671993,400,20461,0.0003311334258993076,0.6439349620405077,0.00014144688269440147,0.27643462886834813,0.0008670220495218715
52,control,0.2654,0.3573307727978074,0.0098650367886458,0.3515668012741027,0.005235366102079,0.443112596695471,0.0099914757023769,0.2930032341780239,0.0065032045301086,0.9909659090909092,0.0013712286490868,400,21177,0.00036563149511139676,0.5951979255769622,0.00014144688269440147,0.2632345155403222,0.0008670220495218715
