,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,largest_cc_p,global_efficiency_p,avg_clustering_p,avg_local_efficiency_p,avg_pc,avg_pc_ste
27,control,0.1667,0.4111532985644724,0.0062429470926044,0.3268552133024594,0.003760528823657,0.487721792121089,0.0068204759440169,0.9682817182817186,0.0047808214015546,91,682,0.8714131206510496,0.0023239926279204,0.0567837049441457,0.0094283579028257,0.7332666201561967,0.0112959663622027
28,covid,0.1756,0.3931888854251323,0.0080093368158609,0.3116573119217021,0.0043259510774189,0.4597639202104083,0.0087187916185221,0.9631083202511772,0.0065965354824118,91,719,0.4849820731840796,0.0018427063130601,0.0410325141393557,0.007307160528885,0.7684954860060016,0.0090606211167706
29,control,0.1756,0.4140260559973082,0.0062266051888662,0.3326635408359367,0.0037271294594461,0.4911976446660757,0.0067796627211478,0.972027972027972,0.0048228906656483,91,719,0.4849820731840796,0.0018427063130601,0.0410325141393557,0.007307160528885,0.7405659776783783,0.011120877634475
30,covid,0.1846,0.393951045444451,0.0080581681398564,0.3169509372229859,0.0043770260276624,0.4602425735278839,0.0086280089644816,0.967817896389325,0.0055674416660838,91,756,0.5545196929221434,0.0011783559416048,0.0614262480632406,0.0087406107024339,0.775827988153128,0.0088000686870319
31,control,0.1846,0.4144331573072566,0.0063626590331388,0.3381799329820587,0.0037914440833123,0.4915847189408873,0.0069213344029318,0.9747752247752248,0.0045035385178319,91,756,0.5545196929221434,0.0011783559416048,0.0614262480632406,0.0087406107024339,0.748042455364689,0.0109412993303305
32,covid,0.1936,0.3947451825760931,0.008152269987244,0.3212220766918695,0.004480185967012,0.4612045217908072,0.008645664030951,0.9696493982208269,0.0052824640758471,91,792,0.5569759361560955,0.0012518757095686,0.0638628577561119,0.0071205960497283,0.7827986900814604,0.0085969845414436
33,control,0.1936,0.4157228933162039,0.0066212654173335,0.3429749354377161,0.0039308756632519,0.4934435058576847,0.0071623818117354,0.976773226773227,0.0040149387355885,91,792,0.5569759361560955,0.0012518757095686,0.0638628577561119,0.0071205960497283,0.755159805149901,0.0109318542096281
34,covid,0.2026,0.3962013273540697,0.0085209964124009,0.3259142701887184,0.0046565897807983,0.4628299415102151,0.0089316465673684,0.9735740450026164,0.0046372066853077,91,829,0.6135133953410717,0.0014117785507445,0.1034160453296381,0.0165112654537548,0.7883290538434027,0.0084571166953797
35,control,0.2026,0.4163688651730482,0.00711110426234,0.3477233811779006,0.0040088488119669,0.4942065268762791,0.0075510919736491,0.9792707292707292,0.0037080285779666,91,829,0.6135133953410717,0.0014117785507445,0.1034160453296381,0.0165112654537548,0.761659014597056,0.0108548782638926
36,covid,0.2115,0.3969507982391154,0.0086920404748478,0.329353634364694,0.004785441941302,0.4629326406376376,0.0091591950761654,0.9746206174777604,0.0044631146586746,91,866,0.33601099638216,0.0011088437209297,0.1071285425460891,0.0143154138701061,0.7943088981782926,0.0082550918883506
37,control,0.2115,0.4166553554848873,0.0070383561995801,0.3524043167467426,0.0041519513167727,0.4942126275026996,0.0074474417668806,0.982017982017982,0.0034622791474975,91,866,0.33601099638216,0.0011088437209297,0.1071285425460891,0.0143154138701061,0.7678660770681716,0.0107165971376762
38,covid,0.2205,0.39729179817645,0.0088463010633919,0.3325220087939709,0.0048972693298329,0.4625551606254972,0.0093161276462851,0.9754055468341184,0.0044680421446178,91,903,0.3255371098877434,0.0010431402153276,0.0817142943822606,0.0146624617339913,0.8002041683614167,0.0079518736864989
39,control,0.2205,0.4186095803156892,0.0071838243676157,0.356146993055805,0.0043164814898742,0.4953643877934933,0.0075989450023868,0.9827672327672328,0.0034497684275587,91,903,0.3255371098877434,0.0010431402153276,0.0817142943822606,0.0146624617339913,0.7743361687685631,0.0104073295927925
40,covid,0.2295,0.3971509398460024,0.0090091700591501,0.3358997464594904,0.0049306210409455,0.4618950973219567,0.0094235368849268,0.977760334903192,0.0043701152155497,91,939,0.3000982453140838,0.0011783559416048,0.0832405459903468,0.0143154138701061,0.8053816455282524,0.0077441318607814
41,control,0.2295,0.4189158548119321,0.007150955341053,0.3604884648609975,0.0044757559281831,0.4952990469496156,0.007605889278691,0.9862637362637362,0.0029577220984832,91,939,0.3000982453140838,0.0011783559416048,0.0832405459903468,0.0143154138701061,0.7799608411112736,0.0102965269700762
42,covid,0.2385,0.3969628653884386,0.0091590607427417,0.3388835454798798,0.005102076613894,0.461252558273158,0.0096259691743153,0.979330193615908,0.0040736141525781,91,976,0.378066398311587,0.0012518757095686,0.0758348157873675,0.0161259193664438,0.8110812269216019,0.0075121893252666
43,control,0.2385,0.4194541260498849,0.0073374658859581,0.3639522299865094,0.0046351709202692,0.495014231599507,0.0078296618257715,0.987012987012987,0.0027647415202776,91,976,0.378066398311587,0.0012518757095686,0.0758348157873675,0.0161259193664438,0.7854601676943447,0.0100883994578878
44,covid,0.2474,0.3968125443774312,0.0095466593271375,0.3417970776609956,0.0052787867797171,0.4610922498696367,0.0099820119901016,0.9809000523286238,0.0039517557343502,91,1013,0.2149253412742952,0.0011783559416048,0.0663787474871534,0.0189976120417397,0.8158302968723649,0.0072642606290501
45,control,0.2474,0.4206038743606539,0.0075019519744921,0.3676601229508752,0.0047268744545958,0.4952925773082386,0.0080051834152793,0.989010989010989,0.0026666029600477,91,1013,0.2149253412742952,0.0011783559416048,0.0663787474871534,0.0189976120417397,0.7907979851555994,0.0099087861512794
46,covid,0.2564,0.3968811605891504,0.0098336223907693,0.3442928080582476,0.0054330934475792,0.4607972704540886,0.0101816377768264,0.9814233385661956,0.0038717540857725,91,1050,0.1536712288025681,0.0011783559416048,0.0579160626824282,0.021313685355129,0.8203205632546323,0.0070087762497209
47,control,0.2564,0.420990133743371,0.0077137541754157,0.3710526989105726,0.0048012657424831,0.4949207971019551,0.0082225950344676,0.9907592407592408,0.0023940403374981,91,1050,0.1536712288025681,0.0011783559416048,0.0579160626824282,0.021313685355129,0.7957584558932236,0.009775955397995
48,covid,0.2654,0.3963280264007787,0.0098960528466218,0.3465226680960792,0.0055802524847701,0.4597007885146369,0.010244243904843,0.9819466248037676,0.0038243136707284,91,1086,0.0891405529349849,0.0012146021073197,0.0787299084161478,0.0223068169648798,0.8246780102321128,0.0068050306194793
49,control,0.2654,0.4203302386582946,0.0078489090858714,0.3738530745959,0.0048917328325907,0.4934885606780676,0.0083568318403684,0.991758241758242,0.0021228771228771,91,1086,0.0891405529349849,0.0012146021073197,0.0787299084161478,0.0223068169648798,0.8008860150695379,0.0096061831372911
50,covid,0.2744,0.3949042022649011,0.0100619857074958,0.3487594422237241,0.0057464843400636,0.4578245703939715,0.0104243280096177,0.9822082679225536,0.0038445049800295,91,1123,0.1052356791876206,0.001498605608442,0.0614262480632406,0.0203592860664581,0.8290283728331763,0.0066446831875738
51,control,0.2744,0.4206378076910677,0.0079981256410066,0.3765644525770026,0.0050087129984532,0.4927236810521908,0.0085173304125636,0.9925074925074928,0.0018945734355461,91,1123,0.1052356791876206,0.001498605608442,0.0614262480632406,0.0203592860664581,0.8054830946102272,0.0095139496586333
52,covid,0.2833,0.3941512533288048,0.0101279172349265,0.3505676679239202,0.0058482528246457,0.4565324188756742,0.0104627866165899,0.9822082679225536,0.0038445049800295,91,1160,0.0469899037831178,0.0012902030113823,0.0483718878999294,0.0181346908874201,0.8327852358453194,0.0064970422357746
53,control,0.2833,0.4208991179533088,0.008091803207119,0.3792487825829169,0.0051568831126757,0.4919251799455529,0.0085767855734712,0.9935064935064936,0.0018119611027816,91,1160,0.0469899037831178,0.0012902030113823,0.0483718878999294,0.0181346908874201,0.8103010493054638,0.0093045168623548
54,covid,0.2923,0.3928196523044694,0.0102256932336443,0.3527605500042584,0.0059952050539081,0.454364947223456,0.010553810465831,0.9837781266352696,0.0036299264425168,91,1197,0.0285049988491971,0.0015903288562243,0.0401851523866201,0.0185617639357243,0.8366417306689523,0.0063286138148087
55,control,0.2923,0.4198827669538141,0.0082203050319132,0.3816902768810591,0.0052455439796769,0.4897356063372477,0.0086811900628846,0.994255744255744,0.0016372890501897,91,1197,0.0285049988491971,0.0015903288562243,0.0401851523866201,0.0185617639357243,0.8144950015260796,0.0092364451732038
56,covid,0.3013,0.3916965799664191,0.0102987082421448,0.3546071460614622,0.0061336525394388,0.4523804029860697,0.0106489818392296,0.9845630559916274,0.003626557183622,91,1233,0.030248931454965,0.0016871954676233,0.0369425900924656,0.0185617639357243,0.8403578660909848,0.0061320032823579
57,control,0.3013,0.4198057449781233,0.0084162390476513,0.3839371911484673,0.0053371665954415,0.4885791486262428,0.008819638795894,0.9950049950049952,0.0014327284137937,91,1233,0.030248931454965,0.0016871954676233,0.0369425900924656,0.0185617639357243,0.8190148741225145,0.0090683604193072
58,covid,0.3103,0.3911455872189799,0.0105302885532829,0.3561805999177564,0.0062311183111578,0.4507966976556523,0.0108146198545761,0.9848246991104131,0.0036433723205424,91,1270,0.0205331792714201,0.0017894633196999,0.0311217447268879,0.0161259193664438,0.8439463126814376,0.0059381155297553
59,control,0.3103,0.4202503865248728,0.0086857220411686,0.3860645415811729,0.0054889990001996,0.4880858981841899,0.0090426408990414,0.9955044955044956,0.0014267793427813,91,1270,0.0205331792714201,0.0017894633196999,0.0311217447268879,0.0161259193664438,0.8230733452430639,0.0088486738557453
60,covid,0.3192,0.3904527936226791,0.0106509001415874,0.35762736974878,0.0063228356424947,0.4489963970929704,0.0109184789513861,0.9850863422291996,0.0035649089254979,91,1307,0.0178961956325217,0.0015903288562243,0.0318033731201939,0.0153788737233658,0.8476185499400897,0.0057141692021624
61,control,0.3192,0.4200564789014663,0.0087770484491499,0.3880796926618641,0.0056176209473087,0.4868513521174165,0.0091091651466641,0.996003996003996,0.0011762631774578,91,1307,0.0178961956325217,0.0015903288562243,0.0318033731201939,0.0153788737233658,0.8270220316740946,0.0087022277612061
62,covid,0.3282,0.3893146511412294,0.0107883153314689,0.359147506733641,0.0064332310146126,0.4472620966523723,0.010989090669556,0.9856096284667716,0.0035003135340101,91,1344,0.0204603756124407,0.0016871954676233,0.0255313721186413,0.0157485006203887,0.8512406530096861,0.0055322416103026
63,control,0.3282,0.4201420821360097,0.0089737059362809,0.3897088214921252,0.0057255565894642,0.4856559624260158,0.0093010375679684,0.996003996003996,0.0011762631774578,91,1344,0.0204603756124407,0.0016871954676233,0.0255313721186413,0.0157485006203887,0.830803625902633,0.0085647194381135
64,covid,0.3372,0.3881376631514047,0.0109203536480735,0.3603188833966611,0.0065287623469324,0.4454511558537409,0.0111099040851168,0.9856096284667716,0.0035003135340101,91,1380,0.0074038919079315,0.0014117785507445,0.0223068169648798,0.0146624617339913,0.854347898863035,0.0053782061860708
65,control,0.3372,0.4194805167200756,0.009035779381796,0.3914518852368044,0.00582930189757,0.4840809033831081,0.0093526490007711,0.9965034965034966,0.0011592677696139,91,1380,0.0074038919079315,0.0014117785507445,0.0223068169648798,0.0146624617339913,0.8344906033925615,0.0083834692018109
66,covid,0.3462,0.3871987431523348,0.0110015649118366,0.3616510757857983,0.0066711961900822,0.4434022647342402,0.0111469909476094,0.9863945578231292,0.0033056104661346,91,1417,0.0063090769810365,0.001638103379219,0.0218053312806511,0.0153788737233658,0.8574232882322972,0.0051969729698853
67,control,0.3462,0.4188163000979774,0.0091638717609171,0.3930592519854015,0.0059549518539651,0.4824536838527093,0.0094831064859995,0.9967532467532468,0.0010931842859281,91,1417,0.0063090769810365,0.001638103379219,0.0218053312806511,0.0153788737233658,0.8382966590492228,0.0081522820058696
68,covid,0.3551,0.385926293790369,0.0110052069915519,0.3627141760393678,0.0067644813224913,0.4411226093756803,0.0111596131768052,0.9863945578231292,0.0033056104661346,91,1454,0.0014977521680785,0.0015438400069042,0.0181346908874201,0.012082518867416,0.8602204004144564,0.005052875786772
69,control,0.3551,0.4189756377671075,0.0093135985591962,0.3948512759344611,0.0060843616729979,0.481329202909351,0.0096111611125165,0.9975024975024976,0.0009904501912263,91,1454,0.0014977521680785,0.0015438400069042,0.0181346908874201,0.012082518867416,0.8420558869441923,0.0079928309693443
70,covid,0.3641,0.3841957088456992,0.0110689551444378,0.3639472091129848,0.0068866804564309,0.4386056761005806,0.0112322071736974,0.9869178440607014,0.0032729053759913,91,1491,0.0006660856636739,0.0015903288562243,0.0150169048293227,0.0091939253819802,0.8631223345015848,0.0048892694279695
71,control,0.3641,0.4190948819281253,0.0094459197700229,0.3964439698726423,0.0062116866989054,0.4803256793001923,0.0097156165973489,0.998001998001998,0.0009525100791664,91,1491,0.0006660856636739,0.0015903288562243,0.0150169048293227,0.0091939253819802,0.8453584442440012,0.0079008833644103
72,covid,0.3731,0.3831185841251012,0.0111579316383553,0.3647734856988721,0.0069664505234795,0.4364469168456405,0.0112793431844043,0.9869178440607014,0.0032729053759913,91,1527,0.0006660856636739,0.001638103379219,0.0139756323022383,0.0080980461844919,0.8659620301465936,0.0047475079467255
73,control,0.3731,0.4188104486703604,0.0096584550244805,0.3976988310668318,0.0063232629721803,0.4788209627814013,0.0099087082712738,0.998001998001998,0.0009525100791664,91,1527,0.0006660856636739,0.001638103379219,0.0139756323022383,0.0080980461844919,0.8486980951680071,0.0077337150907014
74,covid,0.3821,0.3825887690129453,0.0112737865112807,0.3655856909662053,0.0070456767489857,0.4347835211124867,0.0113519803784005,0.9869178440607014,0.0032729053759913,91,1564,0.0002877327265821,0.001498605608442,0.0129986203791259,0.0087406107024339,0.8688554756722824,0.004579556364985
75,control,0.3821,0.4184004959124938,0.0097521177687643,0.3990057124743027,0.006415966131222,0.4772551057633691,0.0099850329956554,0.9982517482517482,0.0009306796076223,91,1564,0.0002877327265821,0.001498605608442,0.0129986203791259,0.0087406107024339,0.8519026169267373,0.0075645356464378
76,covid,0.391,0.3813040215691189,0.0112942760205642,0.3663607988525211,0.0071354003898807,0.4326618086922271,0.0113826698895937,0.9869178440607014,0.0032729053759913,91,1601,0.0002302659196722,0.0015903288562243,0.0123813196634454,0.0085215313026873,0.8712924744639908,0.0044546761869749
77,control,0.391,0.4175286033141878,0.0098320101474173,0.4002391695047292,0.0065413010050428,0.4753042300392027,0.0100473004338551,0.9985014985014984,0.000835145498036,91,1601,0.0002302659196722,0.0015903288562243,0.0123813196634454,0.0085215313026873,0.8551969124876582,0.0074243735448681
78,covid,0.4,0.3798889968254602,0.0113139974791888,0.3672658150945138,0.0072541593188032,0.4303719658368486,0.0114225518517576,0.9874411302982732,0.0032378571918528,91,1638,0.0002505144362322,0.0017894633196999,0.0112241071872468,0.0078934519009809,0.8739677258272113,0.0043091855573028
79,control,0.4,0.4169755619264859,0.0099043000352432,0.4013082914233623,0.0066428136398018,0.4736990229962696,0.0101244224664739,0.9985014985014984,0.000835145498036,91,1638,0.0002505144362322,0.0017894633196999,0.0112241071872468,0.0078934519009809,0.8583080496108344,0.007265644465408497
